chr	start	end	CpG	WJ01.N	WJ01.X	WJ02.N	WJ02.X	WJ03.N	WJ03.X	WJ04.N	WJ04.X	WJ05.N	WJ05.X	feature	distance	gene	transcript
chr10	44148089	44148166	3	31	23	38	31	30	29	20	17	26	22	Distal Intergenic	-22281	Speer5-ps1	NR_001582
chr10	44148522	44149019	37	297	205	274	193	411	271	472	314	362	253	Distal Intergenic	-21428	Speer5-ps1	NR_001582
chr10	44149173	44149467	11	107	90	107	100	134	114	143	118	163	136	Distal Intergenic	-20980	Speer5-ps1	NR_001582
chr10	44149486	44149766	8	175	164	182	171	180	167	206	190	254	241	Distal Intergenic	-20681	Speer5-ps1	NR_001582
chr10	44160332	44160427	3	56	17	40	10	59	8	64	8	56	15	Distal Intergenic	-10020	Speer5-ps1	NR_001582
chr10	44167698	44167788	3	93	77	88	64	105	83	88	64	106	85	Promoter (2-3kb)	-2659	Speer5-ps1	NR_001582
chr10	44189949	44190129	6	33	26	24	11	42	32	45	29	36	28	Intron (NR_001582/Speer5-ps1, intron 2 of 6)	19503	Speer5-ps1	NR_001582
chr10	44190287	44190394	3	56	41	62	44	55	46	62	47	67	47	Intron (NR_001582/Speer5-ps1, intron 2 of 6)	19841	Speer5-ps1	NR_001582
chr10	44235135	44235215	4	252	153	255	174	263	168	269	167	280	177	Distal Intergenic	19711	Speer5-ps1	NR_027506
chr10	44235420	44235701	9	390	113	427	122	471	139	433	159	472	150	Distal Intergenic	19996	Speer5-ps1	NR_027506
chr10	44256798	44256943	5	22	15	24	20	27	20	27	18	36	27	Distal Intergenic	-11415	Atg5	NM_053069
chr10	44265531	44265628	4	22	22	35	35	27	26	33	32	23	22	Promoter (2-3kb)	-2730	Atg5	NM_053069
chr10	44265750	44265820	4	NA	NA	NA	NA	22	22	22	22	NA	NA	Promoter (2-3kb)	-2538	Atg5	NM_053069
chr10	44266322	44266459	9	NA	NA	NA	NA	32	31	NA	NA	23	23	Promoter (1-2kb)	-1899	Atg5	NM_053069
chr10	44267889	44267972	4	33	0	40	2	48	2	59	1	64	2	Promoter (<=1kb)	-386	Atg5	NM_053069
chr10	44268115	44268555	44	493	3	622	15	720	8	813	14	708	12	Promoter (<=1kb)	0	Atg5	NM_053069
chr10	44268563	44268995	26	312	26	279	27	313	27	306	26	293	19	Promoter (<=1kb)	206	Atg5	NM_053069
chr10	44286114	44286397	6	129	86	140	83	156	99	182	115	161	103	Exon (NM_053069/Atg5, exon 2 of 8)	17757	Atg5	NM_053069
chr10	44296308	44296519	7	40	38	65	57	44	41	40	37	34	33	Intron (NM_053069/Atg5, intron 4 of 7)	27951	Atg5	NM_053069
chr10	44306418	44306501	4	NA	NA	NA	NA	21	21	NA	NA	NA	NA	Intron (NM_053069/Atg5, intron 5 of 7)	38061	Atg5	NM_053069
chr10	44306647	44306899	7	91	83	98	84	128	111	131	122	98	84	Intron (NM_053069/Atg5, intron 5 of 7)	38290	Atg5	NM_053069
chr10	44325998	44326135	3	46	21	27	8	35	18	41	18	39	24	Intron (NM_053069/Atg5, intron 6 of 7)	-33541	Mir1929	NR_035450
chr10	44328353	44328467	3	50	35	72	58	99	85	77	66	94	82	Intron (NM_053069/Atg5, intron 6 of 7)	-31209	Mir1929	NR_035450
chr10	44328849	44328941	3	28	26	29	28	28	28	33	32	28	26	Intron (NM_053069/Atg5, intron 6 of 7)	-30735	Mir1929	NR_035450
chr10	44367167	44367250	7	155	146	175	170	189	186	211	204	258	254	Distal Intergenic	7492	Mir1929	NR_035450
chr10	44367353	44367746	15	211	204	245	242	264	249	278	261	278	263	Distal Intergenic	7678	Mir1929	NR_035450
chr10	44368601	44369008	14	257	225	242	208	292	252	276	250	230	204	Distal Intergenic	8926	Mir1929	NR_035450
chr10	44369620	44369701	3	28	26	21	21	26	24	30	29	23	23	Distal Intergenic	9945	Mir1929	NR_035450
chr10	44370854	44370906	4	NA	NA	22	13	NA	NA	NA	NA	26	20	Distal Intergenic	11179	Mir1929	NR_035450
chr10	44371010	44371432	8	93	86	105	96	131	115	142	125	130	115	Distal Intergenic	11335	Mir1929	NR_035450
chr10	44380423	44380556	6	63	55	48	42	74	72	91	81	55	47	Distal Intergenic	20748	Mir1929	NR_035450
chr10	44380658	44380861	10	164	144	187	152	212	177	221	182	215	175	Distal Intergenic	20983	Mir1929	NR_035450
chr10	44380965	44381073	6	59	45	64	55	55	46	71	56	59	48	Distal Intergenic	21290	Mir1929	NR_035450
chr10	44381200	44381299	3	48	36	45	39	60	50	74	60	64	57	Distal Intergenic	21525	Mir1929	NR_035450
chr10	44381813	44382160	18	200	178	210	190	225	209	256	233	216	190	Distal Intergenic	22138	Mir1929	NR_035450
chr10	44387244	44387453	6	77	65	103	91	90	80	88	69	82	68	Distal Intergenic	27569	Mir1929	NR_035450
chr10	44388739	44388924	8	222	176	225	174	267	215	236	184	252	199	Distal Intergenic	29064	Mir1929	NR_035450
chr10	44389029	44389101	3	62	44	57	47	74	65	61	50	79	66	Distal Intergenic	29354	Mir1929	NR_035450
chr10	44389277	44389353	5	38	38	35	34	33	33	51	50	48	48	Distal Intergenic	29602	Mir1929	NR_035450
chr10	44389530	44389697	7	69	63	77	67	66	58	71	63	87	80	Distal Intergenic	29855	Mir1929	NR_035450
chr10	44390163	44390268	6	83	79	79	77	88	84	116	105	101	97	Distal Intergenic	30488	Mir1929	NR_035450
chr10	44390370	44390686	6	59	45	67	52	79	62	85	69	92	79	Distal Intergenic	30695	Mir1929	NR_035450
chr10	44391546	44391749	6	66	51	63	44	54	41	73	58	89	67	Distal Intergenic	31871	Mir1929	NR_035450
chr10	44392161	44392392	6	64	57	57	40	101	78	74	54	95	73	Distal Intergenic	32486	Mir1929	NR_035450
chr10	44392888	44393233	8	202	184	179	170	222	209	218	199	213	203	Distal Intergenic	33213	Mir1929	NR_035450
chr10	44400400	44400503	3	79	58	81	58	81	58	83	63	98	69	Distal Intergenic	40725	Mir1929	NR_035450
chr10	44403604	44403860	6	93	68	106	81	118	85	91	63	101	75	Distal Intergenic	43929	Mir1929	NR_035450
chr10	44404168	44404256	4	59	56	55	48	68	66	70	68	59	57	Distal Intergenic	44493	Mir1929	NR_035450
chr10	44409042	44409395	11	125	110	172	155	160	151	175	157	167	156	Distal Intergenic	49353	Prdm1	NM_007548
chr10	44409898	44410169	8	100	75	139	114	130	101	144	123	128	105	Distal Intergenic	48579	Prdm1	NM_007548
chr10	44410241	44410574	14	106	100	132	117	186	166	219	191	164	147	Distal Intergenic	48174	Prdm1	NM_007548
chr10	44422363	44422380	3	NA	NA	NA	NA	20	16	39	31	28	21	Distal Intergenic	36368	Prdm1	NM_007548
chr10	44426223	44426241	4	NA	NA	21	21	NA	NA	NA	NA	NA	NA	Distal Intergenic	32507	Prdm1	NM_007548
chr10	44427617	44427673	3	21	4	NA	NA	28	10	30	4	30	13	Distal Intergenic	31075	Prdm1	NM_007548
chr10	44427852	44428271	13	248	129	290	136	341	182	351	173	312	155	Distal Intergenic	30477	Prdm1	NM_007548
chr10	44434666	44435063	10	141	81	161	96	196	119	213	136	191	103	Downstream (2-3kb)	23685	Prdm1	NM_007548
chr10	44436263	44436386	5	83	78	77	61	84	69	84	68	81	70	Downstream (<1kb)	22362	Prdm1	NM_007548
chr10	44439760	44440009	8	179	156	166	150	236	207	196	175	197	176	Exon (NM_007548/Prdm1, exon 7 of 7)	18739	Prdm1	NM_007548
chr10	44440091	44440379	8	52	43	58	49	85	68	87	73	68	56	Exon (NM_007548/Prdm1, exon 7 of 7)	18369	Prdm1	NM_007548
chr10	44441018	44441289	13	208	191	199	186	184	172	253	235	238	213	Exon (NM_007548/Prdm1, exon 5 of 7)	17459	Prdm1	NM_007548
chr10	44441307	44441578	9	63	58	58	55	79	72	75	70	74	71	Exon (NM_007548/Prdm1, exon 5 of 7)	17170	Prdm1	NM_007548
chr10	44441679	44441924	10	53	52	55	54	62	58	75	73	63	61	Exon (NM_007548/Prdm1, exon 5 of 7)	16824	Prdm1	NM_007548
chr10	44441942	44442185	7	81	75	97	87	137	128	125	118	124	109	Exon (NM_007548/Prdm1, exon 5 of 7)	16563	Prdm1	NM_007548
chr10	44442294	44442378	5	91	62	93	71	110	83	142	104	128	91	Intron (NM_007548/Prdm1, intron 4 of 6)	16370	Prdm1	NM_007548
chr10	44442493	44442848	10	77	72	100	92	114	111	113	101	116	107	Intron (NM_007548/Prdm1, intron 4 of 6)	15900	Prdm1	NM_007548
chr10	44454048	44454089	4	NA	NA	NA	NA	20	13	NA	NA	NA	NA	Intron (NM_007548/Prdm1, intron 2 of 6)	4659	Prdm1	NM_007548
chr10	44454642	44454776	4	48	45	52	50	55	53	62	59	57	56	Intron (NM_007548/Prdm1, intron 2 of 6)	3972	Prdm1	NM_007548
chr10	44455070	44455208	3	NA	NA	25	17	22	13	39	26	28	12	Intron (NM_007548/Prdm1, intron 2 of 6)	3540	Prdm1	NM_007548
chr10	44456520	44456911	14	140	134	151	143	186	172	219	210	213	201	Promoter (1-2kb)	1837	Prdm1	NM_007548
chr10	44456948	44457339	15	189	40	228	52	289	81	203	51	262	46	Promoter (1-2kb)	1409	Prdm1	NM_007548
chr10	44458438	44458892	41	409	34	446	30	542	37	619	44	581	55	Promoter (<=1kb)	0	Prdm1	NM_007548
chr10	44458960	44459407	19	352	175	370	224	405	228	437	237	472	252	Promoter (<=1kb)	-213	Prdm1	NM_007548
chr10	44459504	44459898	8	143	67	147	69	138	56	149	79	168	74	Promoter (<=1kb)	-757	Prdm1	NM_007548
chr10	44460192	44460292	3	32	1	NA	NA	23	2	24	0	36	4	Promoter (1-2kb)	-1445	Prdm1	NM_007548
chr10	44460430	44460612	3	22	16	24	17	36	28	37	29	29	22	Promoter (1-2kb)	-1683	Prdm1	NM_007548
chr10	44465714	44465824	6	30	24	32	30	33	25	31	27	45	41	Distal Intergenic	-6967	Prdm1	NM_007548
chr10	44465993	44466086	7	55	43	67	54	88	80	73	60	75	59	Distal Intergenic	-7246	Prdm1	NM_007548
chr10	44466220	44466357	3	20	12	36	18	41	20	37	23	27	12	Distal Intergenic	-7473	Prdm1	NM_007548
chr10	44474331	44474793	12	94	50	140	85	155	91	174	111	164	108	Distal Intergenic	-15584	Prdm1	NM_007548
chr10	44476395	44476686	15	155	147	149	147	203	194	183	173	205	197	Distal Intergenic	-17648	Prdm1	NM_007548
chr10	44483061	44483169	4	43	42	44	41	54	50	47	44	64	59	Distal Intergenic	-24314	Prdm1	NM_007548
chr10	44483324	44483423	4	62	59	63	54	77	70	82	77	82	77	Distal Intergenic	-24577	Prdm1	NM_007548
chr10	44483581	44483846	6	43	33	78	55	64	54	73	59	65	55	Distal Intergenic	-24834	Prdm1	NM_007548
chr10	44489243	44489315	5	194	134	191	123	194	139	227	157	174	126	Distal Intergenic	-30496	Prdm1	NM_007548
chr10	44508393	44508566	4	44	29	54	38	60	35	47	22	44	25	Distal Intergenic	-49646	Prdm1	NM_007548
chr10	44520452	44520577	4	34	18	58	28	69	38	78	36	65	30	Distal Intergenic	-61705	Prdm1	NM_007548
chr10	44527082	44527498	22	106	56	143	69	129	43	84	40	132	51	Distal Intergenic	-68335	Prdm1	NM_007548
chr10	44527737	44527968	9	58	19	67	34	87	42	82	47	87	42	Distal Intergenic	-68990	Prdm1	NM_007548
chr10	44528380	44528608	13	131	95	127	82	109	73	161	97	146	96	Distal Intergenic	-69633	Prdm1	NM_007548
chr10	44528726	44528982	9	76	42	86	55	111	66	106	65	121	76	Distal Intergenic	-69979	Prdm1	NM_007548
chr10	44529127	44529477	15	133	20	201	36	206	34	290	51	217	29	Distal Intergenic	-70380	Prdm1	NM_007548
chr10	44529521	44529874	28	508	14	441	8	575	7	531	10	647	14	Distal Intergenic	-70774	Prdm1	NM_007548
chr10	44530016	44530132	5	100	10	112	14	115	9	172	25	111	10	Distal Intergenic	-71269	Prdm1	NM_007548
chr10	44539006	44539134	6	51	45	31	25	33	27	41	35	33	28	Distal Intergenic	-80259	Prdm1	NM_007548
chr10	44539244	44539403	7	85	83	131	126	103	102	103	96	112	104	Distal Intergenic	-80497	Prdm1	NM_007548
chr10	44589923	44590109	6	40	39	34	31	54	51	59	57	51	45	Distal Intergenic	-131176	Prdm1	NM_007548
chr10	44607427	44607631	4	74	30	92	41	88	41	101	47	111	49	Distal Intergenic	-148680	Prdm1	NM_007548
chr10	44608018	44608216	7	169	155	195	167	227	185	239	202	240	208	Distal Intergenic	-149271	Prdm1	NM_007548
chr10	44634860	44635010	7	51	46	82	76	111	106	103	95	99	91	Distal Intergenic	-176113	Prdm1	NM_007548
chr10	44676591	44676771	3	111	109	107	103	113	109	131	123	122	119	Distal Intergenic	-217844	Prdm1	NM_007548
chr10	44685200	44685305	3	NA	NA	25	9	25	9	28	9	NA	NA	Distal Intergenic	-226453	Prdm1	NM_007548
chr10	44700031	44700499	11	171	153	173	158	206	193	198	180	214	204	Distal Intergenic	-241284	Prdm1	NM_007548
chr10	44716622	44716789	5	72	66	74	67	66	62	101	97	72	67	Distal Intergenic	-257875	Prdm1	NM_007548
chr10	44721674	44721782	4	114	113	102	98	121	117	146	140	125	121	Distal Intergenic	-262927	Prdm1	NM_007548
chr10	44721890	44722061	6	144	121	177	146	203	177	217	189	195	165	Distal Intergenic	-263143	Prdm1	NM_007548
chr10	44755596	44755719	5	141	6	152	12	160	8	173	11	173	6	Distal Intergenic	-296849	Prdm1	NM_007548
chr10	44761324	44761535	5	59	39	75	42	64	38	77	50	77	40	Distal Intergenic	-302577	Prdm1	NM_007548
chr10	44761755	44761952	5	122	97	153	111	161	123	174	133	148	111	Distal Intergenic	-303008	Prdm1	NM_007548
chr10	44762198	44762338	4	76	61	89	74	106	86	85	72	112	92	Distal Intergenic	-303451	Prdm1	NM_007548
chr10	44765692	44765748	3	117	102	116	102	135	123	139	122	122	106	Distal Intergenic	-301466	Prep	NM_011156
chr10	44779563	44779786	6	127	110	148	134	155	149	153	140	141	128	Distal Intergenic	-287428	Prep	NM_011156
chr10	44779974	44780043	3	24	15	NA	NA	NA	NA	NA	NA	NA	NA	Distal Intergenic	-287171	Prep	NM_011156
chr10	44780448	44780583	3	69	48	51	32	73	47	72	53	65	53	Distal Intergenic	-286631	Prep	NM_011156
chr10	44852605	44852833	17	130	117	137	126	164	145	235	221	163	156	Distal Intergenic	-214381	Prep	NM_011156
chr10	44892134	44892328	6	99	78	85	71	106	87	113	94	114	98	Distal Intergenic	-174886	Prep	NM_011156
chr10	44896614	44896671	3	25	24	34	34	23	23	24	24	21	21	Distal Intergenic	-170543	Prep	NM_011156
chr10	44922001	44922119	3	20	15	NA	NA	NA	NA	20	18	NA	NA	Distal Intergenic	-145095	Prep	NM_011156
chr10	44945315	44945461	3	NA	NA	NA	NA	24	2	25	0	21	0	Distal Intergenic	-121753	Prep	NM_011156
chr10	45000669	45000920	8	143	16	118	13	179	21	168	34	189	26	Distal Intergenic	-66294	Prep	NM_011156
chr10	45001192	45001387	5	61	12	63	19	70	17	81	19	58	11	Distal Intergenic	-65827	Prep	NM_011156
chr10	45002849	45002885	3	37	34	41	34	50	44	67	57	78	70	Distal Intergenic	-64329	Prep	NM_011156
chr10	45004090	45004278	6	62	43	76	61	72	55	92	76	76	60	Distal Intergenic	-62936	Prep	NM_011156
chr10	45004418	45004483	3	112	90	106	94	96	83	110	87	108	91	Distal Intergenic	-62731	Prep	NM_011156
chr10	45006050	45006140	5	NA	NA	39	36	23	23	33	31	28	26	Distal Intergenic	-61074	Prep	NM_011156
chr10	45006268	45006520	7	60	45	57	41	63	49	61	52	66	53	Distal Intergenic	-60694	Prep	NM_011156
chr10	45009570	45009908	13	122	104	180	161	123	103	198	170	173	157	Distal Intergenic	-57306	Prep	NM_011156
chr10	45017873	45018327	14	185	97	227	130	266	143	251	141	243	156	Distal Intergenic	-48887	Prep	NM_011156
chr10	45045339	45045747	11	242	93	256	95	267	105	250	109	237	85	Distal Intergenic	-21467	Prep	NM_011156
chr10	45048175	45048448	11	246	200	273	227	264	214	318	264	301	239	Distal Intergenic	-18766	Prep	NM_011156
chr10	45048564	45049034	14	220	107	260	127	339	173	310	157	289	160	Distal Intergenic	-18180	Prep	NM_011156
chr10	45049269	45049320	3	NA	NA	NA	NA	NA	NA	NA	NA	25	24	Distal Intergenic	-17894	Prep	NM_011156
chr10	45051017	45051297	8	87	28	68	22	101	26	116	41	85	30	Distal Intergenic	-15917	Prep	NM_011156
chr10	45051414	45051602	6	129	65	149	82	140	83	131	83	156	87	Distal Intergenic	-15612	Prep	NM_011156
chr10	45062892	45062986	3	NA	NA	NA	NA	NA	NA	21	18	NA	NA	Distal Intergenic	-4228	Prep	NM_011156
chr10	45066647	45067055	30	204	9	257	5	208	9	200	5	264	8	Promoter (<=1kb)	-159	Prep	NM_011156
chr10	45067518	45067963	19	133	7	165	9	166	9	112	6	145	7	Promoter (<=1kb)	305	Prep	NM_011156
chr10	45069675	45069799	4	43	43	NA	NA	28	27	60	57	40	40	Promoter (2-3kb)	2462	Prep	NM_011156
chr10	45069932	45069963	3	40	39	36	36	38	36	46	45	41	40	Promoter (2-3kb)	2719	Prep	NM_011156
chr10	45070318	45070415	3	62	49	56	41	66	49	68	51	72	59	Intron (NM_011156/Prep, intron 1 of 14)	3105	Prep	NM_011156
chr10	45070570	45070654	4	53	51	77	77	76	76	93	90	79	77	Intron (NM_011156/Prep, intron 1 of 14)	3357	Prep	NM_011156
chr10	45071017	45071261	6	87	80	120	117	144	140	118	111	126	120	Intron (NM_011156/Prep, intron 1 of 14)	3804	Prep	NM_011156
chr10	45072669	45072813	8	180	170	162	154	180	174	208	203	196	187	Intron (NM_011156/Prep, intron 2 of 14)	5456	Prep	NM_011156
chr10	45077537	45077776	5	45	40	50	47	43	41	53	50	60	56	Intron (NM_011156/Prep, intron 2 of 14)	10324	Prep	NM_011156
chr10	45092536	45092876	8	136	129	166	163	168	168	173	164	171	168	Exon (NM_011156/Prep, exon 4 of 15)	25323	Prep	NM_011156
chr10	45095544	45095659	3	24	22	29	28	37	37	33	33	26	25	Intron (NM_011156/Prep, intron 5 of 14)	28331	Prep	NM_011156
chr10	45114328	45114464	3	41	35	63	50	48	39	60	44	42	36	Intron (NM_011156/Prep, intron 7 of 14)	47115	Prep	NM_011156
chr10	45121874	45121957	3	21	21	33	32	39	39	20	20	37	37	Intron (NM_011156/Prep, intron 9 of 14)	54661	Prep	NM_011156
chr10	45130105	45130208	5	100	98	82	79	101	96	114	105	114	111	Intron (NM_011156/Prep, intron 10 of 14)	62892	Prep	NM_011156
chr10	45130476	45130621	3	NA	NA	25	22	NA	NA	22	12	27	19	Intron (NM_011156/Prep, intron 10 of 14)	63263	Prep	NM_011156
chr10	45132376	45132493	3	47	35	36	28	52	46	55	43	50	44	Intron (NM_011156/Prep, intron 10 of 14)	65163	Prep	NM_011156
chr10	45158227	45158511	23	152	148	195	188	191	190	226	218	242	238	Exon (NM_011156/Prep, exon 15 of 15)	91014	Prep	NM_011156
chr10	45158620	45158673	4	NA	NA	NA	NA	NA	NA	NA	NA	21	21	3' UTR	91407	Prep	NM_011156
chr10	45165809	45165989	8	40	32	38	21	25	18	44	34	52	40	Distal Intergenic	98596	Prep	NM_011156
chr10	45193742	45193857	5	40	25	36	20	51	33	37	22	48	23	Distal Intergenic	-95448	Popdc3	NM_024286
chr10	45237821	45237849	4	NA	NA	NA	NA	30	13	36	21	37	14	Distal Intergenic	-51456	Popdc3	NM_024286
chr10	45238163	45238340	7	64	59	37	37	93	78	110	100	79	73	Distal Intergenic	-50965	Popdc3	NM_024286
chr10	45242964	45243087	5	25	18	23	14	29	23	25	15	38	23	Distal Intergenic	-46218	Popdc3	NM_024286
chr10	45266339	45266420	3	NA	NA	NA	NA	NA	NA	23	13	NA	NA	Distal Intergenic	-22885	Popdc3	NM_024286
chr10	45289181	45289367	14	48	28	55	33	93	60	71	50	58	36	Promoter (<=1kb)	0	Popdc3	NM_024286
chr10	45289664	45289882	18	52	38	22	20	54	36	28	20	38	30	Promoter (<=1kb)	360	Popdc3	NM_024286
chr10	45303687	45303809	4	NA	NA	NA	NA	23	13	22	9	23	9	Intron (NM_024286/Popdc3, intron 1 of 3)	14383	Popdc3	NM_024286
chr10	45303918	45304028	5	43	31	44	36	37	26	48	36	41	31	Intron (NM_024286/Popdc3, intron 1 of 3)	14614	Popdc3	NM_024286
chr10	45317719	45317885	8	107	105	82	77	138	135	126	125	93	92	Exon (NM_024286/Popdc3, exon 4 of 4)	-17877	Bves	NM_024285
chr10	45335283	45335720	34	162	90	174	99	210	109	149	84	136	64	Promoter (<=1kb)	-42	Bves	NM_024285
chr10	45335896	45336248	35	113	83	109	82	117	85	147	103	142	105	Promoter (<=1kb)	135	Bves	NM_024285
chr10	45344425	45344566	4	44	35	45	35	50	41	55	40	50	36	Intron (NM_024285/Bves, intron 3 of 7)	8664	Bves	NM_024285
chr10	45367376	45367792	13	165	106	173	103	181	108	208	139	198	122	Intron (NM_024285/Bves, intron 7 of 7)	31615	Bves	NM_024285
chr10	45381245	45381307	3	NA	NA	21	19	NA	NA	32	30	NA	NA	Exon (NM_001031772/Lin28b, exon 5 of 5)	45484	Bves	NM_024285
chr10	45469431	45469906	12	120	72	186	103	209	123	160	80	178	105	Promoter (<=1kb)	295	Lin28b	NM_001031772
chr10	45471049	45471206	6	NA	NA	NA	NA	NA	NA	NA	NA	23	13	Promoter (<=1kb)	-849	Lin28b	NM_001031772
chr10	45473800	45474076	15	43	22	58	26	28	14	59	26	65	31	Distal Intergenic	-3600	Lin28b	NM_001031772
chr10	45485369	45485846	39	668	362	784	417	881	492	757	390	763	440	Distal Intergenic	-15169	Lin28b	NM_001031772
chr10	45486367	45486441	13	NA	NA	NA	NA	NA	NA	47	9	NA	NA	Distal Intergenic	-16167	Lin28b	NM_001031772
chr10	45486705	45487095	34	317	122	420	185	452	208	522	225	494	204	Distal Intergenic	-16505	Lin28b	NM_001031772
chr10	45547114	45547148	3	75	32	88	41	99	36	99	45	112	40	Distal Intergenic	-30681	Hace1	NM_172473
chr10	45577646	45577958	29	545	7	600	9	628	9	561	7	625	9	Promoter (<=1kb)	0	Hace1	NM_172473
chr10	45577968	45578287	55	417	11	234	7	284	4	384	10	308	3	Promoter (<=1kb)	140	Hace1	NM_172473
chr10	45578420	45578453	4	NA	NA	NA	NA	23	0	29	0	27	0	Promoter (<=1kb)	592	Hace1	NM_172473
chr10	45584526	45584669	7	68	67	70	67	63	59	31	31	83	83	Intron (NM_172473/Hace1, intron 1 of 23)	6698	Hace1	NM_172473
chr10	45618967	45619055	3	85	82	87	85	93	86	98	95	98	98	Intron (NM_172473/Hace1, intron 6 of 23)	41139	Hace1	NM_172473
chr10	45697911	45697999	3	NA	NA	21	18	NA	NA	NA	NA	24	16	Intron (NM_172473/Hace1, intron 20 of 23)	-109705	D030045P18Rik	NR_040624
chr10	45711172	45711249	3	57	52	37	34	57	50	53	48	37	35	Intron (NM_172473/Hace1, intron 23 of 23)	-96455	D030045P18Rik	NR_040624
chr10	45763101	45763320	5	29	16	40	23	45	33	39	29	42	29	Distal Intergenic	-44384	D030045P18Rik	NR_040624
chr10	45781546	45781612	3	NA	NA	24	20	NA	NA	32	30	28	26	Distal Intergenic	-26092	D030045P18Rik	NR_040624
chr10	45800342	45800766	10	173	7	166	4	182	11	235	8	197	7	Distal Intergenic	-6938	D030045P18Rik	NR_040624
chr10	45806831	45807030	7	166	139	166	141	228	187	222	194	222	183	Promoter (<=1kb)	-674	D030045P18Rik	NR_040624
chr10	45807160	45807593	12	290	188	292	209	297	197	325	216	310	191	Promoter (<=1kb)	-111	D030045P18Rik	NR_040624
chr10	45812029	45812135	4	101	54	117	50	100	52	136	68	131	69	Intron (NR_040624/D030045P18Rik, intron 1 of 2)	4326	D030045P18Rik	NR_040624
chr10	45812453	45812491	3	NA	NA	NA	NA	23	21	36	35	38	37	Intron (NR_040624/D030045P18Rik, intron 1 of 2)	4750	D030045P18Rik	NR_040624
chr10	45865017	45865279	9	97	90	98	90	117	97	112	104	142	126	Distal Intergenic	57314	D030045P18Rik	NR_040624
chr10	45875299	45875623	19	68	67	155	154	100	98	108	103	167	163	Distal Intergenic	67596	D030045P18Rik	NR_040624
chr10	46011918	46012356	12	200	40	174	25	213	40	241	44	198	27	Distal Intergenic	204215	D030045P18Rik	NR_040624
chr10	46057323	46057625	7	104	49	96	35	116	33	121	39	107	42	Distal Intergenic	-187123	Snord14d	NR_028274
chr10	46057649	46057962	9	165	84	179	76	206	91	209	96	207	81	Distal Intergenic	-186786	Snord14d	NR_028274
chr10	46819856	46819899	4	23	21	NA	NA	NA	NA	28	28	30	25	Distal Intergenic	575108	Snord14c	NR_028276
chr10	47272229	47272324	6	NA	NA	35	33	NA	NA	NA	NA	NA	NA	Distal Intergenic	1027481	Snord14c	NR_028276
chr10	47640102	47640189	3	NA	NA	NA	NA	23	14	NA	NA	NA	NA	Distal Intergenic	1395354	Snord14c	NR_028276
chr10	48539149	48539226	3	NA	NA	NA	NA	22	18	NA	NA	NA	NA	Distal Intergenic	556617	C130030K03Rik	NR_046212
chr10	48551504	48551604	4	23	6	20	9	22	12	37	17	24	11	Distal Intergenic	544239	C130030K03Rik	NR_046212
chr10	48555488	48555711	10	120	106	144	125	176	162	145	134	156	142	Distal Intergenic	540132	C130030K03Rik	NR_046212
chr10	48811022	48811184	6	38	30	40	27	43	27	31	22	41	27	Distal Intergenic	284659	C130030K03Rik	NR_046212
chr10	49003950	49004128	8	NA	NA	NA	NA	21	17	NA	NA	23	18	Distal Intergenic	91715	C130030K03Rik	NR_046212
chr10	49007145	49007346	6	220	149	252	161	263	193	257	182	289	191	Distal Intergenic	88497	C130030K03Rik	NR_046212
chr10	49018060	49018170	3	34	23	45	25	47	26	49	21	34	22	Distal Intergenic	77673	C130030K03Rik	NR_046212
chr10	49061686	49061913	4	48	19	44	14	52	22	38	15	51	20	Distal Intergenic	33930	C130030K03Rik	NR_046212
chr10	49161584	49161694	5	NA	NA	NA	NA	NA	NA	NA	NA	20	12	Intron (NM_001111268/Grik2, intron 14 of 16)	-65742	C130030K03Rik	NR_046212
chr10	49304330	49304532	7	NA	NA	NA	NA	28	24	28	24	31	28	Intron (NM_001111268/Grik2, intron 11 of 16)	-208488	C130030K03Rik	NR_046212
chr10	49704546	49704671	5	NA	NA	30	20	29	19	NA	NA	NA	NA	Intron (NM_001111268/Grik2, intron 2 of 16)	84083	Grik2	NM_001111268
chr10	49782416	49782546	9	NA	NA	21	5	NA	NA	21	9	39	14	Intron (NM_001111268/Grik2, intron 2 of 16)	6208	Grik2	NM_001111268
chr10	49783042	49783444	27	115	53	144	71	229	111	200	103	199	80	5' UTR	5310	Grik2	NM_001111268
chr10	49788248	49788579	21	128	83	159	93	163	102	168	111	209	126	Promoter (<=1kb)	175	Grik2	NM_001111268
chr10	49788611	49788911	28	110	88	81	64	66	53	124	101	112	88	Promoter (<=1kb)	0	Grik2	NM_001111268
chr10	49905768	49905999	9	NA	NA	28	21	NA	NA	NA	NA	30	25	Distal Intergenic	-117015	Grik2	NM_010349
chr10	49908452	49908584	3	80	40	84	41	89	51	81	41	92	52	Distal Intergenic	-119699	Grik2	NM_010349
chr10	49908736	49908744	3	156	153	165	155	169	162	141	131	141	138	Distal Intergenic	-119983	Grik2	NM_010349
chr10	50200305	50200379	3	NA	NA	NA	NA	27	12	24	10	25	11	Distal Intergenic	-392290	Ascc3	NM_198007
chr10	50501061	50501162	3	NA	NA	23	12	25	15	27	16	23	14	Distal Intergenic	-91507	Ascc3	NM_198007
chr10	50572646	50572842	5	98	74	110	78	124	95	108	77	152	103	Distal Intergenic	-19827	Ascc3	NM_198007
chr10	50592188	50592627	22	512	12	617	18	633	14	749	16	737	10	Promoter (<=1kb)	-42	Ascc3	NM_198007
